#SampleID	Group
ZWY1	BTYH
ZWY2	BTYH
ZWY3	BTYH
ZWY5	BTYH
ZWY6	BTYH
ZWY7	BTYH
ZWY8	BTYH
ZWY9	BTYH
ZWY10	BTYH
ZWY11	BTYH
ZWY12	BTYH
ZS2	BTYH
ZS3	BTYH
ZS4	BTYH
ZS5	BTYH
ZS6	BTYH
ZS7	BTYH
ZS8	BTYH
ZS9	BTYH
DS1	BTYH
DS2	BTYH
DS3	BTYH
DS4	BTYH
DS5	BTYH
DS6	BTYH
DS7	BTYH
DS8	BTYH
DS9	BTYH
DS10	BTYH
SJC1	BTYH
SJC2	BTYH
SJC3	BTYH
SJC4	BTYH
SJC7	BTYH
SJC8	BTYH
NMS1	BTYH
NMS2	BTYH
NMS3	BTYH
NMS4	BTYH
NMS5	BTYH
NMS7	BTYH
NMS8	BTYH
NMS9	BTYH
NMS10	BTYH
YG1	Food
YG2	Food
PP1	Food
PP2	Food
SSBD1	Food
SSBD2	Food
YR1	Food
YR2	Food
EZ1	Food
EZ2	Food
CG1	Food
CG2	Food
BJF1	Food
BJF2	Food
BFS1	Food
BFS2	Food
XYR1	Food
XYR2	Food
YXZ1	Food
YXZ2	Food
GSR1	Food
GSR2	Food
JGL1	Food
JGL2	Food
SGT1	Food
SGT2	Food
ZMR1	Food
ZMR2	Food
YBT1	Food
YBT2	Food
WLM1	Food
WLM2	Food
QLG1	Food
qLG2	Food
SMG1	Food
SMG2	Food
ZDS1	Food
ZDS2	Food
HGS1	Food
HGS2	Food
NS1	Soil
NS2	Soil
YS3	Soil
DSS1	Soil
DSS3	Soil
W1-1	Water
W1-2	Water
W2-1	Water
W2-2	Water
W3-1	Water
W3-2	Water
W4-1	Water
W4-2	Water
W5-1	Water
W5-2	Water
ZF01	BTYH
ZF02	BTYH
ZF03	BTYH
ZF04	BTYH
ZF05	BTYH
ZF06	BTYH
ZF07	BTYH
ZF08	BTYH
ZF09	BTYH
ZF10	BTYH
ZF11	BTYH
ZF12	BTYH
ZF13	BTYH
ZF14	BTYH
ZF15	BTYH
ZF16	BTYH
DF02	BTYH
ZF17	BTYH
ZF18	BTYH
ZF19	BTYH
ZF20	BTYH
ZF21	BTYH
ZF22	BTYH
ZF23	BTYH
ZF24	BTYH
DF03	BTYH
ZF25	BTYH
ZF26	BTYH
ZF27	BTYH
ZF28	BTYH
DF04	BTYH
DF05	BTYH
DF06	BTYH
DF07	BTYH
ECHYM2	HYHGX
ECHYM3	HYHGX
ECHYM4	HYHGX
ECHYM5	HYHGX
ECHYM6	HYHGX
SWF14	HYHGZ
SWM18	HYHGZ
XGBM19	HYHGZ
XGBW28	HYHGZ
YYF7-1	YHZOO
YYF7-2	YHZOO
HYM12-1	YHZOO
HYM3-1	YHZOO
HYF30-1	YHZOO
TYM13-1	YHZOO
TYM3-1	YHZOO
PYG	Food
PPP	Food
PSS	Food
PXY	Food
PZZ	Food
PBJ	Food
PBF	Food
PYY	Food
PXZ	Food
PGD	Food
PGT	Food
PMR	Food
PBT	Food
PLM	Food
PGS	Food
PMG	Food
PTS	Food
PMM	Food
PSZ	Food
PKC	Food
ZWYF1	BTYH
ZWYF2	BTYH
ZWYF3	BTYH
ZWYF4	BTYH
ZWYF5	BTYH
ZWYF6	BTYH
ZWYF7	BTYH
ZWYF8	BTYH
ZWYF9	BTYH
ZWYF10	BTYH
ZWYF11	BTYH
ZWYF12	BTYH
ZWYF13	BTYH
ZWYF14	BTYH
ZWYF15	BTYH
ZWYF16	BTYH
ZWYF17	BTYH
ZWYF18	BTYH
ZWYF19	BTYH
ZWYF20	BTYH
ZWYF21	BTYH
ZWYF22	BTYH
ZWYF23	BTYH
ZWYF24	BTYH
ZWYF25	BTYH
ZWYF26	BTYH
ZWYF27	BTYH
ZWYF28	BTYH
ZWYF29	BTYH
ZWYF30	BTYH
ZWYF31	BTYH
ZWYF32	BTYH
ZWYF33	BTYH
ZWYF34	BTYH
ZWYF35	BTYH
ZWYF36	BTYH
ZWYF37	BTYH
ZWYF38	BTYH
ZWYF39	BTYH
ZWYF40	BTYH
ZWYS1	Soil
MZSS2	Soil
HSS1	Soil
ASLS1	Soil
ASLS2	Soil
WTW1	Water
WTW2	Water
JQW1	Water
JQW2	Water
HSW1	Water
HSW2	Water
HSLW1	Water
HSLW2	Water
MZSR1	Rock
MZSR2	Rock
ZWYR1	Rock
ZWYR2	Rock
STYR2	Rock
HWD1	HYHGZ
HWD2	HYHGZ
HWD3	HYHGZ
HWD4	HYHGZ
HWD5	HYHGZ
HWD6	HYHGZ
HWD7	HYHGZ
HWD8	HYHGZ
HWD9	HYHGZ
HWD10	HYHGZ
